Time,Agent1_EnemyPos,Agent1_Fuel,Agent1_Altitude,Agent1_State,Agent2_EnemyPos,Agent2_Fuel,Agent2_Altitude,Agent2_State
68,0.9994,0.0067,0.0003,Engage-Firing,0.9994,0.0015,0.0498,Engage-Firing
69,0.9994,0.0041,0.0002,Engage-Firing,0.9994,0.0009,0.0302,Engage-Firing
70,0.6062,0.9994,0.0001,Evade,0.6062,0.9994,0.0183,Engage-Firing
71,0.3677,0.9994,0.0001,Evade,0.3677,0.6062,0.9994,Evade
72,0.2230,0.6062,0.9994,Evade,0.2230,0.9994,0.6062,Evade
73,0.1353,0.9994,0.6062,Evade,0.1353,0.9994,0.3677,Evade
74,0.9994,0.6062,0.3677,Evade,0.0820,0.9994,0.2230,Evade
75,0.6062,0.3677,0.9994,Evade,0.0498,0.9994,0.1353,Evade
76,0.3677,0.9994,0.6062,Evade,0.0302,0.9994,0.0820,Evade
77,0.2230,0.9994,0.3677,Evade,0.0183,0.6062,0.9994,Evade
78,0.9994,0.6062,0.2230,Evade,0.0111,0.9994,0.6062,Evade
79,0.6062,0.9994,0.1353,Evade,0.0067,0.9994,0.3677,Evade
80,0.3677,0.9994,0.0820,Evade,0.0041,0.9994,0.2230,Evade
81,0.2230,0.6062,0.9994,Evade,0.0025,0.9994,0.1353,Evade
82,0.1353,0.9994,0.6062,Evade,0.0015,0.9994,0.0820,Evade
83,0.9994,0.6062,0.3677,Evade,0.0009,0.6062,0.9994,Evade
84,0.6062,0.9994,0.2230,Evade,0.0006,0.3677,0.9994,Evade
85,0.3677,0.6062,0.9994,Evade,0.0003,0.9994,0.6062,Evade
86,0.9994,0.3677,0.6062,Evade,0.9994,0.6062,0.3677,Evade
87,0.9994,0.2230,0.3677,Evade,0.6062,0.9994,0.2230,Evade
88,0.9994,0.1353,0.2230,Evade,0.3677,0.9994,0.1353,Evade
89,0.6062,0.0820,0.9994,Evade,0.9994,0.6062,0.0820,Evade
90,0.9994,0.0498,0.6062,Evade,0.6062,0.3677,0.9994,Evade
91,0.6062,0.0302,0.9994,Evade,0.3677,0.2230,0.9994,Evade
92,0.3677,0.0183,0.9994,Evade,0.2230,0.1353,0.9994,Evade
93,0.2230,0.0111,0.9994,Evade,0.1353,0.0820,0.9994,Evade
94,0.9994,0.0067,0.6062,Evade,0.0820,0.9994,0.6062,Evade
95,0.9994,0.0041,0.3677,Evade,0.0498,0.6062,0.9994,Evade
96,0.6062,0.9994,0.2230,Evade,0.0302,0.9994,0.6062,Evade
97,0.3677,0.6062,0.9994,Evade,0.0183,0.9994,0.3677,Evade
98,0.2230,0.3677,0.9994,Evade,0.9994,0.6062,0.2230,Evade
99,0.9994,0.2230,0.6062,Evade,0.6062,0.3677,0.9994,Evade
